game_id,minute,side,type
1772,21,home,red_card
1776,63,away,red_card
1777,90,away,red_card
1789,15,home,red_card
1791,68,away,red_card
1795,83,away,red_card
1796,90,away,red_card
1802,11,home,red_card
1804,73,away,red_card
1805,87,home,red_card
1805,90,away,red_card
1810,57,home,red_card
1814,90,home,red_card
1821,68,home,red_card
1821,90,away,red_card
1822,90,home,red_card
1823,54,away,red_card
1823,80,away,red_card
1827,64,away,red_card
1862,1,home,red_card
1862,33,away,red_card
1886,16,away,red_card
1887,47,away,red_card
1889,58,home,red_card
1889,62,away,red_card
1893,76,home,red_card
1899,65,away,red_card
1915,76,away,red_card
1916,90,home,red_card
1916,90,away,red_card
1928,66,away,red_card
1947,73,away,red_card
1959,26,away,red_card
1966,47,away,red_card
2001,81,away,red_card
2001,90,away,red_card
2002,66,away,red_card
2005,55,away,red_card
2019,45,away,red_card
2022,53,away,red_card
2028,65,home,red_card
2032,81,away,red_card
2032,90,away,red_card
2039,30,away,red_card
2040,89,away,red_card
2051,89,away,red_card
2054,9,away,red_card
2054,88,away,red_card
2071,51,home,red_card
2073,90,home,red_card
2073,90,away,red_card
2079,58,away,red_card
2083,90,away,red_card
2086,86,home,red_card
2086,90,away,red_card
2088,89,home,red_card
2089,51,home,red_card
2096,79,home,red_card
2096,51,away,red_card
2106,64,away,red_card
2106,72,away,red_card
2116,51,home,red_card
2116,71,away,red_card
2118,63,home,red_card
2123,79,away,red_card
2124,51,away,red_card
2132,79,home,red_card
2133,85,home,red_card
2134,83,away,red_card
2144,90,home,red_card
2150,87,away,red_card
2155,42,away,red_card
2162,26,away,red_card
2163,32,home,red_card
2163,90,away,red_card
2170,39,home,red_card
2175,41,home,red_card
2175,90,away,red_card
2181,69,home,red_card
2182,90,away,red_card
2194,45,away,red_card
2198,61,home,red_card
2202,19,away,red_card
2205,88,away,red_card
2209,7,away,red_card
2210,85,away,red_card
2221,90,home,red_card
2226,34,away,red_card
2226,55,away,red_card
2227,90,home,red_card
2227,90,away,red_card
2229,90,home,red_card
2229,70,away,red_card
2230,89,away,red_card
2241,66,home,red_card
2243,45,away,red_card
2256,81,home,red_card
2257,62,away,red_card
2257,83,away,red_card
2276,19,away,red_card
2277,75,home,red_card
2279,88,away,red_card
2281,45,away,red_card
2282,45,away,red_card
2289,82,home,red_card
2289,32,away,red_card
2295,85,away,red_card
2296,82,home,red_card
2296,82,away,red_card
2299,90,away,red_card
2309,77,away,red_card
2315,76,away,red_card
2325,89,home,red_card
2328,25,away,red_card
2333,7,home,red_card
2333,69,away,red_card
2336,54,away,red_card
2353,76,away,red_card
2362,39,home,red_card
2364,70,away,red_card
2369,34,away,red_card
2370,51,home,red_card
2389,38,home,red_card
2389,45,away,red_card
2391,67,home,red_card
2396,88,away,red_card
2396,90,away,red_card
2398,90,away,red_card
2402,20,away,red_card
2405,41,home,red_card
2406,37,away,red_card
2408,41,home,red_card
2419,60,away,red_card
2420,59,home,red_card
2435,87,away,red_card
2436,51,home,red_card
2437,72,away,red_card
2438,84,home,red_card
2440,13,home,red_card
2441,60,away,red_card
2444,86,away,red_card
2456,74,home,red_card
2458,45,away,red_card
2460,85,away,red_card
2463,83,home,red_card
2463,90,home,red_card
2464,19,away,red_card
2474,66,away,red_card
2481,77,home,red_card
2484,87,away,red_card
2485,45,home,red_card
2485,45,away,red_card
2488,67,home,red_card
2495,39,home,red_card
2495,83,away,red_card
2496,40,home,red_card
2498,35,home,red_card
2499,37,away,red_card
2502,89,away,red_card
2505,90,away,red_card
2528,12,away,red_card
2537,12,home,red_card
2542,87,away,red_card
2544,45,home,red_card
2551,59,home,red_card
2559,89,home,red_card
2563,84,away,red_card
2571,65,away,red_card
2578,58,away,red_card
2584,21,away,red_card
2585,25,away,red_card
2599,69,away,red_card
2600,15,home,red_card
2610,85,away,red_card
2612,27,away,red_card
2614,44,away,red_card
